,months,id,year
244,[],1591721298-8323,[1886]
245,[],1591721298-8492,[1887]
246,[],1591721298-8328,[1886]
247,[],1591721298-8497,[1887]
248,['August'],1591721298-8106,[1883]
249,['May'],1591721298-8127,[1884]
250,['March'],1591721298-8552,[1888]
251,['April'],1591721298-8565,[1888]
252,['May'],1591721298-8874,[1890]
253,['December'],1591721298-8832,[1889]
254,['October'],1591721298-9163,[1883]
255,['December'],1591721298-8989,[1881]
256,['February'],1591721298-8857,[1890]
257,['January'],1591721298-9052,[1884]
258,['May'],1591721298-8739,[1889]
259,['June'],1591721298-9197,[1888]
260,['July'],1591721298-8615,[1888]
261,['October'],1591721298-8792,[1889]
262,['September'],1591721298-8655,[1888]
263,['April'],1591721298-9179,[1885]
264,[],1591721298-8506,[1887]
265,['January'],1591721298-8713,[1889]
266,['August'],1591721298-8268,[1885]
267,['January'],1591721298-8180,[1885]
268,['July'],1591721298-8138,[1884]
269,['April'],1591721298-8236,[1885]
270,[],1591721298-8462,[1887]
271,['December'],1591721298-9045,[1883]
272,[],1591721298-8351,[1886]
273,[],1591721298-8366,[1886]
274,['September'],1591721298-9036,[1883]
275,['September'],1591721298-9093,[1889]
276,['September'],1591721298-8783,[1889]
277,[],1591721298-8444,[1887]
278,['September'],1591721298-8767,[1889]
279,['December'],1591721298-8320,[1885]
280,[],1591721298-8399,[1886]
281,[],1591721298-8448,[1887]
282,['September'],1591721298-9137,[1882]
283,['August'],1591721298-8626,[1888]
284,[],1591721298-8460,[1887]
285,['September'],1591721298-9017,[1882]
286,['December'],1591721298-8691,[1888]
287,['July'],1591721298-8936,[1890]
288,['December'],1591721298-8694,[1888]
289,['May'],1591721298-8244,[1885]
290,['December'],1591721298-8987,[1881]
291,"['April', 'May']",1591721298-8864,[1890]
292,['August'],1591721298-8274,[1885]
293,['June'],1591721298-8745,[1889]
294,"['February', 'March']",1591721298-8201,[1885]
295,['December'],1591721298-9086,[1888]
296,['November'],1591721298-8164,[1884]
297,[],1591721298-8538,[1887]
298,['July'],1591721298-9232,[1890]
299,['June'],1591721298-8895,[1890]
300,['July'],1591721298-8617,[1888]
301,['November'],1591721298-9216,[1888]
302,['November'],1591721298-8160,[1884]
303,['July'],1591721298-8947,[1890]
304,['August'],1591721298-8628,[1888]
305,['June'],1591721298-8259,[1885]
306,['October'],1591721298-8807,[1889]
307,['November'],1591721298-8815,[1889]
308,['October'],1591721298-8660,[1888]
309,['September'],1591721298-8649,[1888]
310,['July'],1591721298-8944,[1890]
311,['July'],1591721298-8618,[1888]
312,[],1591721298-8354,[1886]
313,['October'],1591721298-8984,[1881]
314,[],1591721298-8524,[1887]
315,"['March', 'April']",1591721298-8226,[1885]
316,['August'],1591721298-8641,[1888]
317,['April'],1591721298-8730,[1889]
318,['September'],1591721298-9015,[1882]
319,['February'],1591721298-8550,[1888]
320,['June'],1591721298-9153,[1883]
321,['October'],1591721298-8803,[1889]
322,['April'],1591721298-8233,[1885]
323,['December'],1591721298-8315,[1885]
324,[],1591721298-8406,[1886]
325,['September'],1591721298-8652,[1888]
326,['July'],1591721298-8931,[1888]
327,['May'],1591721298-8877,[1890]
328,['April'],1591721298-8568,[1888]
329,['July'],1591721298-9131,[1882]
330,['October'],1591721298-9118,[1881]
331,['June'],1591721298-8896,[1890]
332,[],1591721298-8365,[1886]
333,['September'],1591721298-9140,[1882]
334,['April'],1591721298-8722,[1889]
335,"['June', 'July']",1591721298-8929,[1890]
336,['January'],1591721298-8192,[1885]
337,[],1591721298-8397,[1886]
338,[],1591721298-8471,[1887]
339,[],1591721298-8419,[1887]
340,['June'],1591721298-8598,[1888]
341,['October'],1591721298-9115,[1881]
342,['November'],1591721298-9102,[1882]
343,['December'],1591721298-8833,[1889]
344,['August'],1591721298-8629,[1888]
345,['December'],1591721298-8167,[1884]
346,"['June', 'July']",1591721298-8260,[1885]
347,[],1591721298-8430,[1887]
348,['July'],1591721298-8930,[1890]
349,['August'],1591721298-8631,[1888]
350,['February'],1591721298-8850,[1890]
351,['June'],1591721298-9230,[1890]
352,[],1591721298-9072,[1887]
353,['May'],1591721298-8873,[1890]
354,['September'],1591721298-8286,[1885]
355,[],1591721298-8424,[1887]
356,['November'],1591721298-9185,[1885]
357,[],1591721298-8498,[1887]
358,['June'],1591721298-8904,[1890]
359,['November'],1591721298-8165,[1884]
360,['August'],1591721298-8763,[1889]
361,[],1591721298-8510,[1887]
362,[],1591721298-8352,[1886]
363,['January'],1591721298-8716,[1889]
364,['June'],1591721298-8746,[1889]
365,['October'],1591721298-8970,[1881]
366,['June'],1591721298-9199,[1888]
367,['June'],1591721298-8255,[1885]
368,['January'],1591721298-8847,[1890]
369,['May'],1591721298-8878,[1890]
370,['August'],1591721298-8090,[1882]
371,['August'],1591721298-9133,[1882]
372,['February'],1591721298-8199,[1885]
373,['May'],1591721298-8131,[1884]
374,['May'],1591721298-9096,[1890]
375,[],1591721298-8383,[1886]
376,['August'],1591721298-8087,[1882]
377,['November'],1591721298-8119,[1883]
378,['July'],1591721298-8951,[1890]
379,['September'],1591721298-8782,[1889]
380,['July'],1591721298-9233,[1890]
381,['September'],1591721298-8282,[1885]
382,[],1591721298-8499,[1887]
383,"['March', 'April']",1591721298-8860,[1890]
384,['September'],1591721298-8143,[1884]
385,['March'],1591721298-8214,[1885]
386,[],1591721298-8339,[1886]
387,[],1591721298-8388,[1886]
388,[],1591721298-8369,[1886]
389,['April'],1591721298-9220,[1889]
390,['July'],1591721298-8999,[1882]
391,"['April', 'May']",1591721298-8125,[1884]
392,['August'],1591721298-8107,[1883]
393,['March'],1591721298-8553,[1888]
394,['March'],1591721298-8211,[1885]
395,['October'],1591721298-9160,[1883]
396,['August'],1591721298-8632,[1888]
397,['September'],1591721298-8643,[1888]
398,[],1591721298-8518,[1887]
399,['November'],1591721298-8670,[1888]
400,['June'],1591721298-8910,[1890]
401,[],1591721298-9043,[1883]
402,['May'],1591721298-8240,[1885]
403,['May'],1591721298-8735,[1889]
404,['October'],1591721298-9094,[1889]
405,['September'],1591721298-9141,[1882]
406,['January'],1591721298-8710,[1889]
407,['September'],1591721298-8770,[1889]
408,['August'],1591721298-9064,[1885]
409,"['February', 'March']",1591721298-8205,[1885]
410,['February'],1591721298-8854,[1890]
411,['June'],1591721298-8749,[1889]
412,['June'],1591721298-9228,[1890]
413,['November'],1591721298-8985,[1881]
414,['November'],1591721298-9027,[1882]
415,['May'],1591721298-9194,[1888]
416,['September'],1591721298-9113,[1881]
417,['April'],1591721298-8728,[1889]
418,['November'],1591721298-8809,[1889]
419,[],1591721298-8386,[1886]
420,['September'],1591721298-9013,[1882]
421,['March'],1591721298-9176,[1885]
422,['July'],1591721298-9083,[1888]
423,['November'],1591721298-9099,[1882]
424,['December'],1591721298-8314,[1885]
425,[],1591721298-8489,[1887]
426,[],1591721298-8464,[1887]
427,['April'],1591721298-9178,[1885]
428,['November'],1591721298-8311,[1885]
429,['January'],1591721298-8189,[1885]
430,[],1591721298-8503,[1887]
431,['February'],1591721298-8853,[1890]
432,['January'],1591721298-8179,[1885]
433,['October'],1591721298-8794,[1889]
434,['December'],1591721298-8837,[1889]
435,[],1591721298-9186,[1887]
436,[],1591721298-8453,[1887]
437,['August'],1591721298-8096,[1882]
438,"['September', 'October']",1591721298-9023,[1882]
439,[],1591721298-8326,[1886]
440,['August'],1591721298-8630,[1888]
441,['March'],1591721298-8719,[1889]
442,['September'],1591721298-9206,[1888]
443,['February'],1591721298-8197,[1885]
444,['December'],1591721298-8697,[1888]
445,['May'],1591721298-9097,[1890]
446,['November'],1591721298-8166,[1884]
447,"['March', 'April']",1591721298-8564,[1888]
448,['May'],1591721298-8243,[1885]
449,[],1591721298-8371,[1886]
450,['November'],1591721298-8153,[1884]
451,"['October', 'November']",1591721298-8306,[1885]
452,['September'],1591721298-8966,[1881]
453,['November'],1591721298-8679,[1888]
454,[],1591721298-8324,[1886]
455,['May'],1591721298-8882,[1890]
456,['November'],1591721298-8814,[1889]
457,['October'],1591721298-8983,[1881]
458,[],1591721298-8390,[1886]
459,[],1591721298-8362,[1886]
460,['June'],1591721298-8915,[1890]
461,"['November', 'December']",1591721298-8826,[1889]
462,['June'],1591721298-8913,[1890]
463,['September'],1591721298-8773,[1889]
464,['January'],1591721298-8183,[1885]
465,['May'],1591721298-8886,[1890]
466,[],1591721298-8478,[1887]
467,"['November', 'December']",1591721298-8689,[1888]
468,['June'],1591721298-8590,[1888]
469,['March'],1591721298-9031,[1883]
470,"['October', 'November']",1591721298-8307,[1885]
471,[],1591721298-8414,[1886]
472,['August'],1591721298-8098,[1882]
473,"['September', 'October']",1591721298-8293,[1885]
474,['October'],1591721298-9143,[1882]
475,['October'],1591721298-9095,[1889]
476,['December'],1591721298-8701,[1888]
477,['April'],1591721298-8721,[1889]
478,['July'],1591721298-9003,[1882]
479,['March'],1591721298-9175,[1885]
480,['April'],1591721298-9219,[1889]
481,[],1591721298-8533,[1887]
482,[],1591721298-8501,[1887]
483,['September'],1591721298-8653,[1888]
484,['September'],1591721298-8645,[1888]
485,[],1591721298-8401,[1886]
486,"['July', 'August']",1591721298-8267,[1885]
487,[],1591721298-8532,[1887]
488,[],1591721298-8446,[1887]
489,['April'],1591721298-8239,[1885]
490,"['September', 'October']",1591721298-9022,[1882]
491,['October'],1591721298-8116,[1883]
492,['October'],1591721298-9039,[1883]
493,['July'],1591721298-8133,[1884]
494,[],1591721298-8345,[1886]
495,[],1591721298-8511,[1887]
496,['June'],1591721298-8906,[1890]
497,['November'],1591721298-8672,[1888]
498,['June'],1591721298-9200,[1888]
499,['August'],1591721298-9058,[1884]
500,['October'],1591721298-9208,[1888]
501,['October'],1591721298-9213,[1888]
502,['June'],1591721298-8909,[1890]
503,[],1591721298-8368,[1886]
504,[],1591721298-8338,[1886]
505,"['March', 'April']",1591721298-8227,[1885]
506,['August'],1591721298-9062,[1885]
507,['July'],1591721298-9130,[1882]
508,['November'],1591721298-8155,[1884]
509,['May'],1591721298-8581,[1888]
510,[],1591721298-8400,[1886]
511,[],1591721298-8508,[1887]
512,['August'],1591721298-8094,[1882]
513,[],1591721298-8522,[1887]
514,['May'],1591721298-8126,[1884]
515,['October'],1591721298-8973,[1881]
516,"['April', 'May']",1591721298-8578,[1888]
517,['May'],1591721298-9034,[1883]
518,[],1591721298-8529,[1887]
519,"['November', 'December']",1591721298-8828,[1889]
520,['September'],1591721298-8277,[1885]
521,['December'],1591721298-8842,[1889]
522,['June'],1591721298-8919,[1890]
523,['May'],1591721298-8584,[1888]
524,[],1591721298-9071,[1887]
525,['November'],1591721298-8817,[1889]
526,['July'],1591721298-8612,[1888]
527,['December'],1591721298-8838,[1889]
528,['May'],1591721298-9054,[1884]
529,"['November', 'December']",1591721298-8683,[1888]
530,['October'],1591721298-8982,[1881]
531,[],1591721298-8148,"[1884, 1885]"
532,[],1591721298-8490,[1887]
533,['May'],1591721298-8249,[1885]
534,['November'],1591721298-9166,[1883]
535,['May'],1591721298-8875,[1890]
536,['August'],1591721298-8112,[1883]
537,[],1591721298-8461,[1887]
538,['December'],1591721298-9122,[1881]
539,['April'],1591721298-8576,[1888]
540,['September'],1591721298-9224,[1889]
541,[],1591721298-8437,[1887]
542,['September'],1591721298-8283,[1885]
543,['May'],1591721298-8876,[1890]
544,['April'],1591721298-9180,[1885]
545,['January'],1591721298-8707,[1889]
546,['January'],1591721298-8181,[1885]
547,['December'],1591721298-8172,[1884]
548,['August'],1591721298-9063,[1885]
549,[],1591721298-8331,[1886]
550,['November'],1591721298-8313,[1885]
551,['April'],1591721298-9191,[1888]
552,['August'],1591721298-8627,[1888]
553,[],1591721298-8359,[1886]
554,[],1591721298-8398,[1886]
555,['June'],1591721298-8252,[1885]
556,['July'],1591721298-8938,[1890]
557,['August'],1591721298-8089,[1882]
558,"['April', 'May']",1591721298-8862,[1890]
559,[],1591721298-8439,[1887]
560,['May'],1591721298-8737,[1889]
561,['July'],1591721298-8940,[1890]
562,['June'],1591721298-8922,[1890]
563,['April'],1591721298-8575,[1888]
564,['June'],1591721298-8899,[1890]
565,['January'],1591721298-8120,[1884]
566,['January'],1591721298-8993,[1882]
567,['May'],1591721298-9151,[1883]
568,[],1591721298-8423,[1887]
569,['August'],1591721298-8095,[1882]
570,['October'],1591721298-8298,[1885]
571,['June'],1591721298-8956,[1881]
572,['January'],1591721298-8704,[1889]
573,['March'],1591721298-9148,[1883]
574,[],1591721298-8139,[1884]
575,[],1591721298-8343,[1886]
576,[],1591721298-8491,[1887]
577,['July'],1591721298-9001,[1882]
578,['September'],1591721298-9138,[1882]
579,['July'],1591721298-8934,[1890]
580,['December'],1591721298-8831,[1889]
581,['June'],1591721298-9080,[1888]
582,['May'],1591721298-9193,[1888]
583,[],1591721298-8353,[1886]
584,['June'],1591721298-8743,[1889]
585,['September'],1591721298-9139,[1882]
586,[],1591721298-8415,[1886]
587,['February'],1591721298-8849,[1890]
588,['June'],1591721298-8907,[1890]
589,[],1591721298-8525,[1887]
590,"['September', 'October']",1591721298-8294,[1885]
591,['August'],1591721298-8623,[1888]
592,['October'],1591721298-8663,[1888]
593,['May'],1591721298-8130,[1884]
594,['May'],1591721298-8887,[1890]
595,[],1591721298-8426,[1887]
596,[],1591721298-8479,[1887]
597,['April'],1591721298-8231,[1885]
598,['April'],1591721298-9177,[1885]
599,['July'],1591721298-8614,[1888]
600,[],1591721298-8546,[1887]
601,['November'],1591721298-8675,[1888]
602,['September'],1591721298-8786,[1889]
603,['October'],1591721298-8661,[1888]
604,['November'],1591721298-9067,[1885]
605,['February'],1591721298-8848,[1890]
606,['October'],1591721298-8967,[1881]
607,[],1591721298-8449,[1887]
608,[],1591721298-8432,[1887]
609,['October'],1591721298-8972,[1881]
610,['July'],1591721298-9156,[1883]
611,['May'],1591721298-8879,[1890]
612,['September'],1591721298-8288,[1885]
613,['May'],1591721298-9092,[1889]
614,['April'],1591721298-8234,[1885]
615,[],1591721298-8393,[1886]
616,['October'],1591721298-8806,[1889]
617,['July'],1591721298-8613,[1888]
618,['June'],1591721298-9082,[1888]
619,['June'],1591721298-8591,[1888]
620,['September'],1591721298-9012,[1882]
621,[],1591721298-8452,[1887]
622,['November'],1591721298-8309,[1885]
623,"['May', 'June']",1591721298-8888,[1890]
624,['May'],1591721298-9056,[1884]
625,[],1591721298-8445,[1887]
626,[],1591721298-8514,[1887]
627,['October'],1591721298-8115,[1883]
628,['September'],1591721298-8960,[1881]
629,['September'],1591721298-8780,[1889]
630,['June'],1591721298-8594,[1888]
631,['July'],1591721298-8935,[1890]
632,"['November', 'December']",1591721298-8827,[1889]
633,[],1591721298-8319,"[1885, 1886]"
634,['May'],1591721298-9057,[1884]
635,['March'],1591721298-8560,[1888]
636,['March'],1591721298-8218,[1885]
637,['October'],1591721298-8664,[1888]
638,['June'],1591721298-8928,[1890]
639,[],1591721298-8322,[1886]
640,['June'],1591721298-8593,[1888]
641,[],1591721298-8336,[1886]
642,['December'],1591721298-8169,[1884]
643,['December'],1591721298-8829,[1889]
644,['September'],1591721298-9020,[1882]
645,['August'],1591721298-8108,[1883]
646,['April'],1591721298-8577,[1888]
647,['January'],1591721298-8190,[1885]
648,['October'],1591721298-8805,[1889]
649,['September'],1591721298-9112,[1881]
650,"['February', 'March']",1591721298-8203,[1885]
651,['April'],1591721298-9076,[1888]
652,['February'],1591721298-8718,[1889]
653,['September'],1591721298-8771,[1889]
654,['October'],1591721298-8145,[1884]
655,['November'],1591721298-9059,[1884]
656,[],1591721298-8539,[1887]
657,['June'],1591721298-9079,[1888]
658,['November'],1591721298-8150,[1884]
659,[],1591721298-8357,[1886]
660,['October'],1591721298-9116,[1881]
661,['August'],1591721298-8634,[1888]
662,['April'],1591721298-8101,[1883]
663,['June'],1591721298-8894,[1890]
664,['October'],1591721298-9041,[1883]
665,['December'],1591721298-9120,[1881]
666,['September'],1591721298-8775,[1889]
667,[],1591721298-8495,[1887]
668,['January'],1591721298-8715,[1889]
669,['August'],1591721298-8100,[1882]
670,['March'],1591721298-8563,[1888]
671,['March'],1591721298-8206,[1885]
672,['September'],1591721298-8784,[1889]
673,['August'],1591721298-9205,[1888]
674,['May'],1591721298-9055,[1884]
675,['February'],1591721298-8551,[1888]
676,['June'],1591721298-8608,[1888]
677,[],1591721298-8474,[1887]
678,['April'],1591721298-8726,[1889]
679,['September'],1591721298-8275,[1885]
680,['May'],1591721298-8738,[1889]
681,['May'],1591721298-8872,[1890]
682,['December'],1591721298-8696,[1888]
683,['November'],1591721298-8151,[1884]
684,['July'],1591721298-8937,[1890]
685,[],1591721298-8348,[1886]
686,['September'],1591721298-8281,[1885]
687,['October'],1591721298-9212,[1888]
688,[],1591721298-8447,[1887]
689,[],1591721298-8505,[1887]
690,[],1591721298-8465,[1887]
691,[],1591721298-9075,[1887]
692,[],1591721298-8409,[1886]
693,['December'],1591721298-8173,[1884]
694,['May'],1591721298-8883,[1890]
695,['November'],1591721298-8813,[1889]
696,['August'],1591721298-9173,[1884]
697,['June'],1591721298-9152,[1883]
698,['March'],1591721298-9187,[1888]
699,[],1591721298-8412,[1886]
700,['January'],1591721298-8182,[1885]
701,['June'],1591721298-8893,[1890]
702,['April'],1591721298-8723,[1889]
703,"['September', 'October']",1591721298-8295,[1885]
704,[],1591721298-8378,[1886]
705,[],1591721298-8537,[1887]
706,['June'],1591721298-8924,[1890]
707,['September'],1591721298-8113,[1883]
708,['November'],1591721298-8156,[1884]
709,['November'],1591721298-8310,[1885]
710,['July'],1591721298-8946,[1890]
711,['May'],1591721298-9222,[1889]
712,['July'],1591721298-9006,[1882]
713,[],1591721298-8485,[1887]
714,['June'],1591721298-9202,[1888]
715,['February'],1591721298-8549,[1888]
716,['March'],1591721298-9149,[1883]
717,['January'],1591721298-8711,[1889]
718,['September'],1591721298-9085,[1888]
719,['May'],1591721298-9181,[1885]
720,['February'],1591721298-8200,[1885]
721,['January'],1591721298-9127,[1882]
722,['November'],1591721298-8823,[1889]
723,['June'],1591721298-8898,[1890]
724,['August'],1591721298-8633,[1888]
725,['November'],1591721298-9104,[1882]
726,['October'],1591721298-8976,[1881]
727,['October'],1591721298-8981,[1881]
728,[],1591721298-8507,[1887]
729,[],1591721298-8477,[1887]
730,['July'],1591721298-8952,[1890]
731,['March'],1591721298-8207,[1885]
732,[],1591721298-8429,[1887]
733,[],1591721298-8536,[1887]
734,['October'],1591721298-9184,[1885]
735,[],1591721298-8473,[1887]
736,['March'],1591721298-9146,[1883]
737,[],1591721298-8411,[1886]
738,['January'],1591721298-9124,[1882]
739,['November'],1591721298-8673,[1888]
740,['June'],1591721298-8923,[1890]
741,['March'],1591721298-8217,[1885]
742,[],1591721298-8337,[1886]
743,['July'],1591721298-9236,[1890]
